No.,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd,Total
#0440,Happiny (/pokemon/happiny),normal,Natural Cure (/abilitydex/naturalcure.shtml) | Serene Grace (/abilitydex/serenegrace.shtml) | Friend Guard (/abilitydex/friendguard.shtml),100,5,5,15,65,30,220
#0441,Chatot (/pokemon/chatot),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml) | Big Pecks (/abilitydex/bigpecks.shtml),76,65,45,92,42,91,411
#0442,Spiritomb (/pokemon/spiritomb),ghost | dark,Pressure (/abilitydex/pressure.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),50,92,108,92,108,35,485
#0443,Gible (/pokemon/gible),dragon | ground,Sand Veil (/abilitydex/sandveil.shtml) | Rough Skin (/abilitydex/roughskin.shtml),58,70,45,40,45,42,300
#0444,Gabite (/pokemon/gabite),dragon | ground,Sand Veil (/abilitydex/sandveil.shtml) | Rough Skin (/abilitydex/roughskin.shtml),68,90,65,50,55,82,410
#0445,Garchomp (/pokemon/garchomp),dragon | ground,Sand Veil (/abilitydex/sandveil.shtml) | Rough Skin (/abilitydex/roughskin.shtml),108,130,95,80,85,102,600
#0446,Munchlax (/pokemon/munchlax),normal,Pickup (/abilitydex/pickup.shtml) | Thick Fat (/abilitydex/thickfat.shtml) | Gluttony (/abilitydex/gluttony.shtml),135,85,40,40,85,5,390
#0447,Riolu (/pokemon/riolu),fighting,Steadfast (/abilitydex/steadfast.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Prankster (/abilitydex/prankster.shtml),40,70,40,35,40,60,285
#0448,Lucario (/pokemon/lucario),fighting | steel,Steadfast (/abilitydex/steadfast.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Justified (/abilitydex/justified.shtml),70,110,70,115,70,90,525
#0449,Hippopotas (/pokemon/hippopotas),ground,Sand Stream (/abilitydex/sandstream.shtml) | Sand Force (/abilitydex/sandforce.shtml),68,72,78,38,42,32,330
#0450,Hippowdon (/pokemon/hippowdon),ground,Sand Stream (/abilitydex/sandstream.shtml) | Sand Force (/abilitydex/sandforce.shtml),108,112,118,68,72,47,525
#0451,Skorupi (/pokemon/skorupi),poison | bug,Battle Armor (/abilitydex/battlearmor.shtml) | Sniper (/abilitydex/sniper.shtml) | Keen Eye (/abilitydex/keeneye.shtml),40,50,90,30,55,65,330
#0452,Drapion (/pokemon/drapion),poison | dark,Battle Armor (/abilitydex/battlearmor.shtml) | Sniper (/abilitydex/sniper.shtml) | Keen Eye (/abilitydex/keeneye.shtml),70,90,110,60,75,95,500
#0453,Croagunk (/pokemon/croagunk),poison | fighting,Anticipation (/abilitydex/anticipation.shtml) | Dry Skin (/abilitydex/dryskin.shtml) | Poison Touch (/abilitydex/poisontouch.shtml),48,61,40,61,40,50,300
#0454,Toxicroak (/pokemon/toxicroak),poison | fighting,Anticipation (/abilitydex/anticipation.shtml) | Dry Skin (/abilitydex/dryskin.shtml) | Poison Touch (/abilitydex/poisontouch.shtml),83,106,65,86,65,85,490
#0455,Carnivine (/pokemon/carnivine),grass,Levitate (/abilitydex/levitate.shtml),74,100,72,90,72,46,454
#0456,Finneon (/pokemon/finneon),water,Swift Swim (/abilitydex/swiftswim.shtml) | Storm Drain (/abilitydex/stormdrain.shtml) | Water Veil (/abilitydex/waterveil.shtml),49,49,56,49,61,66,330
#0457,Lumineon (/pokemon/lumineon),water,Swift Swim (/abilitydex/swiftswim.shtml) | Storm Drain (/abilitydex/stormdrain.shtml) | Water Veil (/abilitydex/waterveil.shtml),69,69,76,69,86,91,460
#0458,Mantyke (/pokemon/mantyke),water | flying,Swift Swim (/abilitydex/swiftswim.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml) | Water Veil (/abilitydex/waterveil.shtml),45,20,50,60,120,50,345
#0459,Snover (/pokemon/snover),grass | ice,Snow Warning (/abilitydex/snowwarning.shtml) | Soundproof (/abilitydex/soundproof.shtml),60,62,50,62,60,40,334
#0460,Abomasnow (/pokemon/abomasnow),grass | ice,Snow Warning (/abilitydex/snowwarning.shtml) | Soundproof (/abilitydex/soundproof.shtml),90,92,75,92,85,60,494
#0461,Weavile (/pokemon/weavile),dark | ice,Pressure (/abilitydex/pressure.shtml) | Pickpocket (/abilitydex/pickpocket.shtml),70,120,65,45,85,125,510
#0462,Magnezone (/pokemon/magnezone),electric | steel,Magnet Pull (/abilitydex/magnetpull.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Analytic (/abilitydex/analytic.shtml),70,70,115,130,90,60,535
#0463,Lickilicky (/pokemon/lickilicky),normal,Own Tempo (/abilitydex/owntempo.shtml) | Oblivious (/abilitydex/oblivious.shtml) | Cloud Nine (/abilitydex/cloudnine.shtml),110,85,95,80,95,50,515
#0464,Rhyperior (/pokemon/rhyperior),ground | rock,Lightning Rod (/abilitydex/lightningrod.shtml) | Solid Rock (/abilitydex/solidrock.shtml) | Reckless (/abilitydex/reckless.shtml),115,140,130,55,55,40,535
#0465,Tangrowth (/pokemon/tangrowth),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Leaf Guard (/abilitydex/leafguard.shtml) | Regenerator (/abilitydex/regenerator.shtml),100,100,125,110,50,50,535
#0466,Electivire (/pokemon/electivire),electric,Motor Drive (/abilitydex/motordrive.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),75,123,67,95,85,95,540
#0467,Magmortar (/pokemon/magmortar),fire,Flame Body (/abilitydex/flamebody.shtml) | Vital Spirit (/abilitydex/vitalspirit.shtml),75,95,67,125,95,83,540
#0468,Togekiss (/pokemon/togekiss),fairy | flying,Hustle (/abilitydex/hustle.shtml) | Serene Grace (/abilitydex/serenegrace.shtml) | Super Luck (/abilitydex/superluck.shtml),85,50,95,120,115,80,545
#0469,Yanmega (/pokemon/yanmega),bug | flying,Speed Boost (/abilitydex/speedboost.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml) | Frisk (/abilitydex/frisk.shtml),86,76,86,116,56,95,515
#0470,Leafeon (/pokemon/leafeon),grass,Leaf Guard (/abilitydex/leafguard.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml),65,110,130,60,65,95,525
#0471,Glaceon (/pokemon/glaceon),ice,Snow Cloak (/abilitydex/snowcloak.shtml) | Ice Body (/abilitydex/icebody.shtml),65,60,110,130,95,65,525
#0472,Gliscor (/pokemon/gliscor),ground | flying,Hyper Cutter (/abilitydex/hypercutter.shtml) | Sand Veil (/abilitydex/sandveil.shtml) | Poison Heal (/abilitydex/poisonheal.shtml),75,95,125,45,75,95,510
#0473,Mamoswine (/pokemon/mamoswine),ice | ground,Oblivious (/abilitydex/oblivious.shtml) | Snow Cloak (/abilitydex/snowcloak.shtml) | Thick Fat (/abilitydex/thickfat.shtml),110,130,80,70,60,80,530
#0474,Porygon-Z (/pokemon/porygon-z),normal,Adaptability (/abilitydex/adaptability.shtml) | Download (/abilitydex/download.shtml) | Analytic (/abilitydex/analytic.shtml),85,80,70,135,75,90,535
#0475,Gallade (/pokemon/gallade),psychic | fighting,Steadfast (/abilitydex/steadfast.shtml) | Sharpness (/abilitydex/sharpness.shtml) | Justified (/abilitydex/justified.shtml),68,125,65,65,115,80,518
#0476,Probopass (/pokemon/probopass),rock | steel,Sturdy (/abilitydex/sturdy.shtml) | Magnet Pull (/abilitydex/magnetpull.shtml) | Sand Force (/abilitydex/sandforce.shtml),60,55,145,75,150,40,525
#0477,Dusknoir (/pokemon/dusknoir),ghost,Pressure (/abilitydex/pressure.shtml) | Frisk (/abilitydex/frisk.shtml),45,100,135,65,135,45,525
#0478,Froslass (/pokemon/froslass),ice | ghost,Snow Cloak (/abilitydex/snowcloak.shtml) | Cursed Body (/abilitydex/cursedbody.shtml),70,80,70,80,70,110,480
#0479,Rotom (/pokemon/rotom),electric | ghost,Levitate (/abilitydex/levitate.shtml),50,50,77,95,77,91,440
#0480,Uxie (/pokemon/uxie),psychic,Levitate (/abilitydex/levitate.shtml),75,75,130,75,130,95,580
#0481,Mesprit (/pokemon/mesprit),psychic,Levitate (/abilitydex/levitate.shtml),80,105,105,105,105,80,580
#0482,Azelf (/pokemon/azelf),psychic,Levitate (/abilitydex/levitate.shtml),75,125,70,125,70,115,580
#0483,Dialga (/pokemon/dialga),steel | dragon,Pressure (/abilitydex/pressure.shtml) | Telepathy (/abilitydex/telepathy.shtml),100,120,120,150,100,90,680
#0484,Palkia (/pokemon/palkia),water | dragon,Pressure (/abilitydex/pressure.shtml) | Telepathy (/abilitydex/telepathy.shtml),90,120,100,150,120,100,680
#0485,Heatran (/pokemon/heatran),fire | steel,Flash Fire (/abilitydex/flashfire.shtml) | Flame Body (/abilitydex/flamebody.shtml),91,90,106,130,106,77,600
#0486,Regigigas (/pokemon/regigigas),normal,Slow Start (/abilitydex/slowstart.shtml),110,160,110,80,110,100,670
#0487,Giratina (/pokemon/giratina),ghost | dragon,Pressure (/abilitydex/pressure.shtml) | Telepathy (/abilitydex/telepathy.shtml),150,100,120,100,120,90,680
#0488,Cresselia (/pokemon/cresselia),psychic,Levitate (/abilitydex/levitate.shtml),120,70,110,75,120,85,580
#0489,Phione (/pokemon/phione),water,Hydration (/abilitydex/hydration.shtml),80,80,80,80,80,80,480
#0490,Manaphy (/pokemon/manaphy),water,Hydration (/abilitydex/hydration.shtml),100,100,100,100,100,100,600
#0491,Darkrai (/pokemon/darkrai),dark,Bad Dreams (/abilitydex/baddreams.shtml),70,90,90,135,90,125,600
#0492,Shaymin (/pokemon/shaymin),grass,Natural Cure (/abilitydex/naturalcure.shtml),100,100,100,100,100,100,600
#0493,Arceus (/pokemon/arceus),normal,Multitype (/abilitydex/multitype.shtml),120,120,120,120,120,120,720
#0494,Victini (/pokemon/victini),psychic | fire,Victory Star (/abilitydex/victorystar.shtml),100,100,100,100,100,100,600
#0495,Snivy (/pokemon/snivy),grass,Overgrow (/abilitydex/overgrow.shtml) | Contrary (/abilitydex/contrary.shtml),45,45,55,45,55,63,308
#0496,Servine (/pokemon/servine),grass,Overgrow (/abilitydex/overgrow.shtml) | Contrary (/abilitydex/contrary.shtml),60,60,75,60,75,83,413
#0497,Serperior (/pokemon/serperior),grass,Overgrow (/abilitydex/overgrow.shtml) | Contrary (/abilitydex/contrary.shtml),75,75,95,75,95,113,528
#0498,Tepig (/pokemon/tepig),fire,Blaze (/abilitydex/blaze.shtml) | Thick Fat (/abilitydex/thickfat.shtml),65,63,45,45,45,45,308
#0499,Pignite (/pokemon/pignite),fire | fighting,Blaze (/abilitydex/blaze.shtml) | Thick Fat (/abilitydex/thickfat.shtml),90,93,55,70,55,55,418
#0500,Emboar (/pokemon/emboar),fire | fighting,Blaze (/abilitydex/blaze.shtml) | Reckless (/abilitydex/reckless.shtml),110,123,65,100,65,65,528
#0501,Oshawott (/pokemon/oshawott),water,Torrent (/abilitydex/torrent.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),55,55,45,63,45,45,308
#0502,Dewott (/pokemon/dewott),water,Torrent (/abilitydex/torrent.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),75,75,60,83,60,60,413
#0503,Samurott (/pokemon/samurott),water,Torrent (/abilitydex/torrent.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),95,100,85,108,70,70,528
#0504,Patrat (/pokemon/patrat),normal,Run Away (/abilitydex/runaway.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Analytic (/abilitydex/analytic.shtml),45,55,39,35,39,42,255
#0505,Watchog (/pokemon/watchog),normal,Illuminate (/abilitydex/illuminate.shtml) | Keen Eye (/abilitydex/keeneye.shtml) | Analytic (/abilitydex/analytic.shtml),60,85,69,60,69,77,420
#0506,Lillipup (/pokemon/lillipup),normal,Vital Spirit (/abilitydex/vitalspirit.shtml) | Pickup (/abilitydex/pickup.shtml) | Run Away (/abilitydex/runaway.shtml),45,60,45,25,45,55,275
#0507,Herdier (/pokemon/herdier),normal,Intimidate (/abilitydex/intimidate.shtml) | Sand Rush (/abilitydex/sandrush.shtml) | Scrappy (/abilitydex/scrappy.shtml),65,80,65,35,65,60,370
#0508,Stoutland (/pokemon/stoutland),normal,Intimidate (/abilitydex/intimidate.shtml) | Sand Rush (/abilitydex/sandrush.shtml) | Scrappy (/abilitydex/scrappy.shtml),85,110,90,45,90,80,500
#0509,Purrloin (/pokemon/purrloin),dark,Limber (/abilitydex/limber.shtml) | Unburden (/abilitydex/unburden.shtml) | Prankster (/abilitydex/prankster.shtml),41,50,37,50,37,66,281
#0510,Liepard (/pokemon/liepard),dark,Limber (/abilitydex/limber.shtml) | Unburden (/abilitydex/unburden.shtml) | Prankster (/abilitydex/prankster.shtml),64,88,50,88,50,106,446
#0511,Pansage (/pokemon/pansage),grass,Gluttony (/abilitydex/gluttony.shtml) | Overgrow (/abilitydex/overgrow.shtml),50,53,48,53,48,64,316
#0512,Simisage (/pokemon/simisage),grass,Gluttony (/abilitydex/gluttony.shtml) | Overgrow (/abilitydex/overgrow.shtml),75,98,63,98,63,101,498
#0513,Pansear (/pokemon/pansear),fire,Gluttony (/abilitydex/gluttony.shtml) | Blaze (/abilitydex/blaze.shtml),50,53,48,53,48,64,316
#0514,Simisear (/pokemon/simisear),fire,Gluttony (/abilitydex/gluttony.shtml) | Blaze (/abilitydex/blaze.shtml),75,98,63,98,63,101,498
#0515,Panpour (/pokemon/panpour),water,Gluttony (/abilitydex/gluttony.shtml) | Torrent (/abilitydex/torrent.shtml),50,53,48,53,48,64,316
#0516,Simipour (/pokemon/simipour),water,Gluttony (/abilitydex/gluttony.shtml) | Torrent (/abilitydex/torrent.shtml),75,98,63,98,63,101,498
#0517,Munna (/pokemon/munna),psychic,Forewarn (/abilitydex/forewarn.shtml) | Synchronize (/abilitydex/synchronize.shtml) | Telepathy (/abilitydex/telepathy.shtml),76,25,45,67,55,24,292
#0518,Musharna (/pokemon/musharna),psychic,Forewarn (/abilitydex/forewarn.shtml) | Synchronize (/abilitydex/synchronize.shtml) | Telepathy (/abilitydex/telepathy.shtml),116,55,85,107,95,29,487
#0519,Pidove (/pokemon/pidove),normal | flying,Big Pecks (/abilitydex/bigpecks.shtml) | Super Luck (/abilitydex/superluck.shtml) | Rivalry (/abilitydex/rivalry.shtml),50,55,50,36,30,43,264
#0520,Tranquill (/pokemon/tranquill),normal | flying,Big Pecks (/abilitydex/bigpecks.shtml) | Super Luck (/abilitydex/superluck.shtml) | Rivalry (/abilitydex/rivalry.shtml),62,77,62,50,42,65,358
#0521,Unfezant (/pokemon/unfezant),normal | flying,Big Pecks (/abilitydex/bigpecks.shtml) | Super Luck (/abilitydex/superluck.shtml) | Rivalry (/abilitydex/rivalry.shtml),80,115,80,65,55,93,488
#0522,Blitzle (/pokemon/blitzle),electric,Lightning Rod (/abilitydex/lightningrod.shtml) | Motor Drive (/abilitydex/motordrive.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),45,60,32,50,32,76,295
#0523,Zebstrika (/pokemon/zebstrika),electric,Lightning Rod (/abilitydex/lightningrod.shtml) | Motor Drive (/abilitydex/motordrive.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),75,100,63,80,63,116,497
#0524,Roggenrola (/pokemon/roggenrola),rock,Sturdy (/abilitydex/sturdy.shtml) | Weak Armor (/abilitydex/weakarmor.shtml) | Sand Force (/abilitydex/sandforce.shtml),55,75,85,25,25,15,280
#0525,Boldore (/pokemon/boldore),rock,Sturdy (/abilitydex/sturdy.shtml) | Weak Armor (/abilitydex/weakarmor.shtml) | Sand Force (/abilitydex/sandforce.shtml),70,105,105,50,40,20,390
#0526,Gigalith (/pokemon/gigalith),rock,Sturdy (/abilitydex/sturdy.shtml) | Sand Stream (/abilitydex/sandstream.shtml) | Sand Force (/abilitydex/sandforce.shtml),85,135,130,60,80,25,515
#0527,Woobat (/pokemon/woobat),psychic | flying,Unaware (/abilitydex/unaware.shtml) | Klutz (/abilitydex/klutz.shtml) | Simple (/abilitydex/simple.shtml),65,45,43,55,43,72,323
#0528,Swoobat (/pokemon/swoobat),psychic | flying,Unaware (/abilitydex/unaware.shtml) | Klutz (/abilitydex/klutz.shtml) | Simple (/abilitydex/simple.shtml),67,57,55,77,55,114,425
#0529,Drilbur (/pokemon/drilbur),ground,Sand Rush (/abilitydex/sandrush.shtml) | Sand Force (/abilitydex/sandforce.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),60,85,40,30,45,68,328
#0530,Excadrill (/pokemon/excadrill),ground | steel,Sand Rush (/abilitydex/sandrush.shtml) | Sand Force (/abilitydex/sandforce.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),110,135,60,50,65,88,508
#0531,Audino (/pokemon/audino),normal,Healer (/abilitydex/healer.shtml) | Regenerator (/abilitydex/regenerator.shtml) | Klutz (/abilitydex/klutz.shtml),103,60,86,60,86,50,445
#0532,Timburr (/pokemon/timburr),fighting,Guts (/abilitydex/guts.shtml) | Sheer Force (/abilitydex/sheerforce.shtml) | Iron Fist (/abilitydex/ironfist.shtml),75,80,55,25,35,35,305
#0533,Gurdurr (/pokemon/gurdurr),fighting,Guts (/abilitydex/guts.shtml) | Sheer Force (/abilitydex/sheerforce.shtml) | Iron Fist (/abilitydex/ironfist.shtml),85,105,85,40,50,40,405
#0534,Conkeldurr (/pokemon/conkeldurr),fighting,Guts (/abilitydex/guts.shtml) | Sheer Force (/abilitydex/sheerforce.shtml) | Iron Fist (/abilitydex/ironfist.shtml),105,140,95,55,65,45,505
#0535,Tympole (/pokemon/tympole),water,Swift Swim (/abilitydex/swiftswim.shtml) | Hydration (/abilitydex/hydration.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),50,50,40,50,40,64,294
#0536,Palpitoad (/pokemon/palpitoad),water | ground,Swift Swim (/abilitydex/swiftswim.shtml) | Hydration (/abilitydex/hydration.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),75,65,55,65,55,69,384
#0537,Seismitoad (/pokemon/seismitoad),water | ground,Swift Swim (/abilitydex/swiftswim.shtml) | Poison Touch (/abilitydex/poisontouch.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),105,95,75,85,75,74,509
#0538,Throh (/pokemon/throh),fighting,Guts (/abilitydex/guts.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),120,100,85,30,85,45,465
#0539,Sawk (/pokemon/sawk),fighting,Sturdy (/abilitydex/sturdy.shtml) | Inner Focus (/abilitydex/innerfocus.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),75,125,75,30,75,85,465
#0540,Sewaddle (/pokemon/sewaddle),bug | grass,Swarm (/abilitydex/swarm.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml) | Overcoat (/abilitydex/overcoat.shtml),45,53,70,40,60,42,310
#0541,Swadloon (/pokemon/swadloon),bug | grass,Leaf Guard (/abilitydex/leafguard.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml) | Overcoat (/abilitydex/overcoat.shtml),55,63,90,50,80,42,380
#0542,Leavanny (/pokemon/leavanny),bug | grass,Swarm (/abilitydex/swarm.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml) | Overcoat (/abilitydex/overcoat.shtml),75,103,80,70,80,92,500
#0543,Venipede (/pokemon/venipede),bug | poison,Poison Point (/abilitydex/poisonpoint.shtml) | Swarm (/abilitydex/swarm.shtml) | Speed Boost (/abilitydex/speedboost.shtml),30,45,59,30,39,57,260
#0544,Whirlipede (/pokemon/whirlipede),bug | poison,Poison Point (/abilitydex/poisonpoint.shtml) | Swarm (/abilitydex/swarm.shtml) | Speed Boost (/abilitydex/speedboost.shtml),40,55,99,40,79,47,360
#0545,Scolipede (/pokemon/scolipede),bug | poison,Poison Point (/abilitydex/poisonpoint.shtml) | Swarm (/abilitydex/swarm.shtml) | Speed Boost (/abilitydex/speedboost.shtml),60,100,89,55,69,112,485
#0546,Cottonee (/pokemon/cottonee),grass | fairy,Prankster (/abilitydex/prankster.shtml) | Infiltrator (/abilitydex/infiltrator.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml),40,27,60,37,50,66,280
#0547,Whimsicott (/pokemon/whimsicott),grass | fairy,Prankster (/abilitydex/prankster.shtml) | Infiltrator (/abilitydex/infiltrator.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml),60,67,85,77,75,116,480
#0548,Petilil (/pokemon/petilil),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),45,35,50,70,50,30,280
#0549,Lilligant (/pokemon/lilligant),grass,Chlorophyll (/abilitydex/chlorophyll.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),70,60,75,110,75,90,480
#0550,Basculin (/pokemon/basculin),water,Reckless (/abilitydex/reckless.shtml) | Adaptability (/abilitydex/adaptability.shtml) | Mold Breaker (/abilitydex/moldbreaker.shtml),70,92,65,80,55,98,460
#0551,Sandile (/pokemon/sandile),ground | dark,Intimidate (/abilitydex/intimidate.shtml) | Moxie (/abilitydex/moxie.shtml) | Anger Point (/abilitydex/angerpoint.shtml),50,72,35,35,35,65,292
#0552,Krokorok (/pokemon/krokorok),ground | dark,Intimidate (/abilitydex/intimidate.shtml) | Moxie (/abilitydex/moxie.shtml) | Anger Point (/abilitydex/angerpoint.shtml),60,82,45,45,45,74,351
#0553,Krookodile (/pokemon/krookodile),ground | dark,Intimidate (/abilitydex/intimidate.shtml) | Moxie (/abilitydex/moxie.shtml) | Anger Point (/abilitydex/angerpoint.shtml),95,117,80,65,70,92,519
#0554,Darumaka (/pokemon/darumaka),fire,Hustle (/abilitydex/hustle.shtml) | Inner Focus (/abilitydex/innerfocus.shtml),70,90,45,15,45,50,315
#0555,Darmanitan (/pokemon/darmanitan),fire,Sheer Force (/abilitydex/sheerforce.shtml) | Zen Mode (/abilitydex/zenmode.shtml),105,140,55,30,55,95,480
#0556,Maractus (/pokemon/maractus),grass,Water Absorb (/abilitydex/waterabsorb.shtml) | Chlorophyll (/abilitydex/chlorophyll.shtml) | Storm Drain (/abilitydex/stormdrain.shtml),75,86,67,106,67,60,461
#0557,Dwebble (/pokemon/dwebble),bug | rock,Sturdy (/abilitydex/sturdy.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),50,65,85,35,35,55,325
#0558,Crustle (/pokemon/crustle),bug | rock,Sturdy (/abilitydex/sturdy.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),70,105,125,65,75,45,485
#0559,Scraggy (/pokemon/scraggy),dark | fighting,Shed Skin (/abilitydex/shedskin.shtml) | Moxie (/abilitydex/moxie.shtml) | Intimidate (/abilitydex/intimidate.shtml),50,75,70,35,70,48,348
#0560,Scrafty (/pokemon/scrafty),dark | fighting,Shed Skin (/abilitydex/shedskin.shtml) | Moxie (/abilitydex/moxie.shtml) | Intimidate (/abilitydex/intimidate.shtml),65,90,115,45,115,58,488
#0561,Sigilyph (/pokemon/sigilyph),psychic | flying,Wonder Skin (/abilitydex/wonderskin.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml),72,58,80,103,80,97,490
#0562,Yamask (/pokemon/yamask),ghost,Mummy (/abilitydex/mummy.shtml),38,30,85,55,65,30,303
#0563,Cofagrigus (/pokemon/cofagrigus),ghost,Mummy (/abilitydex/mummy.shtml),58,50,145,95,105,30,483
#0564,Tirtouga (/pokemon/tirtouga),water | rock,Solid Rock (/abilitydex/solidrock.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),54,78,103,53,45,22,355
#0565,Carracosta (/pokemon/carracosta),water | rock,Solid Rock (/abilitydex/solidrock.shtml) | Sturdy (/abilitydex/sturdy.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),74,108,133,83,65,32,495
#0566,Archen (/pokemon/archen),rock | flying,Defeatist (/abilitydex/defeatist.shtml),55,112,45,74,45,70,401
#0567,Archeops (/pokemon/archeops),rock | flying,Defeatist (/abilitydex/defeatist.shtml),75,140,65,112,65,110,567
#0568,Trubbish (/pokemon/trubbish),poison,Stench (/abilitydex/stench.shtml) | Sticky Hold (/abilitydex/stickyhold.shtml) | Aftermath (/abilitydex/aftermath.shtml),50,50,62,40,62,65,329
#0569,Garbodor (/pokemon/garbodor),poison,Stench (/abilitydex/stench.shtml) | Weak Armor (/abilitydex/weakarmor.shtml) | Aftermath (/abilitydex/aftermath.shtml),80,95,82,60,82,75,474
#0570,Zorua (/pokemon/zorua),dark,Illusion (/abilitydex/illusion.shtml),40,65,40,80,40,65,330
#0571,Zoroark (/pokemon/zoroark),dark,Illusion (/abilitydex/illusion.shtml),60,105,60,120,60,105,510
#0572,Minccino (/pokemon/minccino),normal,Cute Charm (/abilitydex/cutecharm.shtml) | Technician (/abilitydex/technician.shtml) | Skill Link (/abilitydex/skilllink.shtml),55,50,40,40,40,75,300
#0573,Cinccino (/pokemon/cinccino),normal,Cute Charm (/abilitydex/cutecharm.shtml) | Technician (/abilitydex/technician.shtml) | Skill Link (/abilitydex/skilllink.shtml),75,95,60,65,60,115,470
#0574,Gothita (/pokemon/gothita),psychic,Frisk (/abilitydex/frisk.shtml) | Competitive (/abilitydex/competitive.shtml) | Shadow Tag (/abilitydex/shadowtag.shtml),45,30,50,55,65,45,290
#0575,Gothorita (/pokemon/gothorita),psychic,Frisk (/abilitydex/frisk.shtml) | Competitive (/abilitydex/competitive.shtml) | Shadow Tag (/abilitydex/shadowtag.shtml),60,45,70,75,85,55,390
#0576,Gothitelle (/pokemon/gothitelle),psychic,Frisk (/abilitydex/frisk.shtml) | Competitive (/abilitydex/competitive.shtml) | Shadow Tag (/abilitydex/shadowtag.shtml),70,55,95,95,110,65,490
#0577,Solosis (/pokemon/solosis),psychic,Overcoat (/abilitydex/overcoat.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Regenerator (/abilitydex/regenerator.shtml),45,30,40,105,50,20,290
#0578,Duosion (/pokemon/duosion),psychic,Overcoat (/abilitydex/overcoat.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Regenerator (/abilitydex/regenerator.shtml),65,40,50,125,60,30,370
#0579,Reuniclus (/pokemon/reuniclus),psychic,Overcoat (/abilitydex/overcoat.shtml) | Magic Guard (/abilitydex/magicguard.shtml) | Regenerator (/abilitydex/regenerator.shtml),110,65,75,125,85,30,490
#0580,Ducklett (/pokemon/ducklett),water | flying,Keen Eye (/abilitydex/keeneye.shtml) | Big Pecks (/abilitydex/bigpecks.shtml) | Hydration (/abilitydex/hydration.shtml),62,44,50,44,50,55,305
#0581,Swanna (/pokemon/swanna),water | flying,Keen Eye (/abilitydex/keeneye.shtml) | Big Pecks (/abilitydex/bigpecks.shtml) | Hydration (/abilitydex/hydration.shtml),75,87,63,87,63,98,473
#0582,Vanillite (/pokemon/vanillite),ice,Ice Body (/abilitydex/icebody.shtml) | Snow Cloak (/abilitydex/snowcloak.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),36,50,50,65,60,44,305
#0583,Vanillish (/pokemon/vanillish),ice,Ice Body (/abilitydex/icebody.shtml) | Snow Cloak (/abilitydex/snowcloak.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),51,65,65,80,75,59,395
#0584,Vanilluxe (/pokemon/vanilluxe),ice,Ice Body (/abilitydex/icebody.shtml) | Snow Warning (/abilitydex/snowwarning.shtml) | Weak Armor (/abilitydex/weakarmor.shtml),71,95,85,110,95,79,535
